
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 12 October 2022]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","Driving a car or van"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02000992 : Bolton 009",5,16,5,57,17,5,168,7,86,25,17,6,5,76,24,100,6,7,5,16,24,48,15,2,6,7,4,15,60,2,47,13,7,4,8,0,0,1,2,1,3,4,6,1,0,13,1,5,1,0,3,0,1,2,1,2,3,1,0,0,0,0,0,0,0,1,0,1,1,2,2,1,1,4,1,3,5,0,0,4,0,0,2,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,3,6,20,10,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,1,1,1,0,0,2,2,0,0,0,0,1,0,2,3,10,7,4,6,5,5,1,1,0,2,0,0,3,1,4,0,0,7,13,3,1,4,1,3,0,10,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,22,5,2,2,12,1,3,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,2,1,0,5,0,0,12,5,13,2,17,6,29,9,5,7,14,12,1,18,0,6,3,3,1,2,5,3,3,4,5,2,0,4,5,7,3,1,4,1,2,2,2,1,1
"E02000993 : Bolton 010",9,28,11,4,35,10,32,5,10,49,22,9,18,42,30,142,27,10,8,5,22,91,12,8,6,7,10,1,31,4,17,20,5,13,3,9,1,3,3,1,1,10,8,11,1,16,10,10,3,4,5,0,1,1,2,0,1,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,3,0,0,2,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,1,1,1,3,5,7,6,0,2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,1,0,0,2,0,0,0,1,0,0,2,2,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,5,1,1,0,1,3,0,6,5,8,3,3,3,4,7,4,1,0,4,1,0,1,0,2,1,1,2,10,7,0,0,0,0,0,11,1,6,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,1,3,2,8,0,2,1,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,2,1,0,1,3,2,0,2,0,2,0,1,0,0,4,0,0,2,0,0,0,2,3,3,2,0,0,0,1,3,0,0,2
"E02000994 : Bolton 011",6,10,9,6,42,1,46,24,1,38,36,3,11,42,46,185,20,16,4,3,31,92,21,4,8,9,19,4,21,3,35,26,6,11,1,3,0,0,0,2,0,5,7,0,0,4,3,18,0,1,6,0,1,0,3,0,3,1,1,0,0,2,2,0,2,0,3,1,0,1,2,0,1,1,0,9,1,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,1,1,4,15,4,2,2,3,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,5,1,0,1,0,1,2,0,4,0,2,4,0,1,0,4,4,1,1,4,0,0,0,0,0,1,0,7,10,4,0,0,2,0,1,5,1,2,0,0,0,0,0,1,2,0,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,3,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,12,2,0,1,2,0,0,0,0,3,1,0,0,1,0,2,1,1,0,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0,2,1,0,1,5,0,0,2,0,0,0,1,0,0,1,9,1,0,1,2,0,2,2,3,0,1,1,0,0,1,0,1,0
"E02000995 : Bolton 012",11,16,6,40,45,3,86,37,15,36,39,44,7,58,92,221,17,26,12,20,39,109,26,7,4,13,14,7,61,1,36,36,5,16,2,3,1,3,0,3,1,8,8,2,0,15,2,5,1,2,3,0,0,2,7,1,2,1,3,0,2,0,1,0,0,0,3,1,1,1,2,0,2,3,1,6,1,2,0,2,0,1,2,3,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,1,2,1,5,24,11,1,2,0,0,8,1,0,0,0,0,0,0,2,2,0,1,1,0,2,3,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,2,2,2,4,5,0,2,2,0,3,5,7,9,1,2,3,5,5,2,0,2,2,0,1,0,5,2,0,2,10,6,0,0,3,2,0,13,1,7,0,0,1,0,0,1,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,11,16,3,2,0,8,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,1,1,6,1,10,2,1,2,1,5,1,6,0,9,0,2,0,0,1,4,1,2,4,3,1,4,8,2,1,0,2,0,3,1,1,1,3
"E02000996 : Bolton 013",6,18,6,3,30,17,30,7,4,34,14,3,51,34,21,158,28,3,33,6,28,90,12,9,3,16,15,4,32,7,32,30,2,17,2,4,0,5,5,7,3,11,24,10,1,17,10,12,5,3,12,0,4,1,0,1,3,2,2,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,3,1,2,14,2,6,0,3,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,6,4,2,0,1,2,0,3,4,3,9,0,2,2,6,3,0,0,4,1,3,2,0,4,0,0,3,11,9,0,0,1,0,0,15,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,11,18,8,2,1,8,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,3,0,1,3,0,7,1,1,0,0,3,0,0,1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,0
"E02000997 : Bolton 014",5,10,5,64,9,3,143,10,17,20,16,8,4,96,26,149,6,10,8,25,25,58,10,3,4,5,12,9,53,4,42,15,8,4,4,1,0,2,4,0,0,6,16,3,0,5,1,8,0,1,4,0,4,0,1,1,3,2,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,6,1,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,1,0,0,2,0,0,0,0,1,4,1,6,8,6,4,3,2,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,2,7,3,1,3,4,1,6,3,0,4,3,0,5,2,2,0,0,7,14,12,1,1,3,2,0,15,3,3,0,2,0,0,0,0,0,0,4,0,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,5,1,1,2,4,0,2,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4,4,0,1,6,1,13,2,0,6,4,8,3,4,1,5,1,2,0,1,8,9,2,3,1,1,0,5,2,5,1,0,6,1,2,0,0,0,1
"E02000998 : Bolton 015",14,13,5,21,29,0,76,11,5,29,25,9,16,43,67,173,36,19,6,8,49,87,26,4,4,12,16,3,29,5,32,27,5,19,2,7,0,1,0,0,0,2,12,10,0,9,1,7,1,2,3,0,3,0,3,0,0,0,3,0,2,2,0,0,1,0,2,1,0,1,1,1,2,2,0,5,0,2,0,2,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,3,0,0,1,1,2,1,11,16,7,0,1,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,2,1,0,2,0,0,0,0,0,0,1,3,0,0,0,3,0,3,0,0,1,0,1,1,1,2,2,3,0,0,0,1,0,5,2,2,1,1,3,2,3,6,0,0,3,1,1,1,0,7,1,0,6,10,8,1,3,1,1,1,19,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,4,0,0,1,15,2,2,1,10,2,1,2,0,0,0,0,2,2,0,0,0,5,0,0,0,1,1,0,0,3,0,0,0,1,0,0,7,0,6,0,2,0,8,1,0,2,0,1,0,2,0,0,5,1,0,1,0,1,0,3,4,2,2,1,2,1,0,1,0,0,1
"E02000999 : Bolton 016",3,3,5,5,27,1,24,6,2,19,13,1,4,20,27,98,20,9,2,3,28,47,15,5,6,9,15,5,14,3,18,21,1,11,0,3,0,0,1,1,0,3,4,1,0,5,5,6,0,2,2,1,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,2,0,1,2,1,0,0,8,9,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,8,2,0,0,0,1,1,6,5,1,0,3,3,0,4,2,0,0,4,0,0,0,0,2,0,0,8,2,7,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,15,0,1,0,5,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,2,4,0,1,0,0,1,0,0,0,1,1,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
"E02001000 : Bolton 017",14,24,14,6,44,4,68,14,17,59,32,3,31,67,49,245,73,10,39,11,40,121,26,9,8,8,22,3,69,6,31,26,11,25,2,2,1,3,1,6,1,7,28,5,3,12,10,15,2,6,18,4,4,3,11,1,5,1,7,1,1,2,0,0,0,0,5,1,0,2,0,0,4,3,0,8,3,4,0,6,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,2,1,3,1,7,25,14,8,0,4,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,1,0,0,0,0,2,0,1,1,2,0,2,0,0,0,1,0,1,0,0,0,1,1,1,1,11,0,3,1,1,1,0,4,2,4,7,2,2,0,4,0,7,8,10,11,5,5,0,4,10,2,0,8,1,0,0,2,2,0,0,3,14,8,0,3,0,1,0,22,1,6,0,1,0,0,0,1,2,1,2,0,4,0,0,3,0,3,0,1,3,0,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,8,19,8,3,2,12,2,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,2,1,1,0,5,1,3,3,0,2,1,0,0,4,0,4,0,4,1,0,2,2,0,0,3,0,0,3,17,1,3,0,2,0,0,2,2,0,1
"E02001001 : Bolton 018",6,16,8,18,31,1,88,23,8,28,23,16,13,75,82,265,26,47,7,25,45,106,34,5,8,11,6,7,59,14,36,29,6,20,3,2,0,2,0,3,0,7,12,1,0,16,2,10,1,0,7,1,4,2,1,0,3,1,1,1,0,1,0,0,0,0,4,2,1,1,4,1,1,1,1,8,9,1,0,8,0,0,2,1,0,0,2,2,0,0,2,0,0,0,1,4,3,1,0,1,1,0,0,2,1,0,1,1,2,4,6,26,14,4,10,2,0,14,0,0,0,0,0,0,0,2,1,2,0,0,0,3,2,5,2,0,0,0,0,0,3,0,2,3,3,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,5,0,1,0,0,2,3,1,1,2,1,2,3,0,2,0,4,3,6,6,2,2,3,6,2,0,0,8,0,1,0,1,1,0,1,4,15,14,0,2,1,1,1,8,0,3,1,0,0,0,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,10,16,3,4,0,14,2,4,1,0,2,1,0,0,4,0,2,0,1,0,0,1,0,1,2,0,1,0,0,2,0,0,1,7,1,4,2,1,5,3,3,0,5,0,4,0,0,0,0,0,7,0,5,0,0,0,5,3,5,0,0,2,0,0,1,0,2,1
"E02001002 : Bolton 019",9,23,4,10,48,11,68,11,3,67,22,9,63,66,37,324,45,10,72,6,34,161,37,30,7,14,22,12,100,3,20,52,8,22,4,13,3,12,4,8,3,16,50,18,3,36,17,25,7,9,14,5,9,5,6,1,10,1,1,0,1,2,2,0,0,0,7,1,2,1,3,0,0,2,2,8,7,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,1,0,0,1,3,1,0,4,23,14,12,2,3,1,8,0,0,0,0,0,0,0,1,2,0,3,1,0,3,3,0,6,0,0,0,0,0,1,0,2,1,0,0,0,3,1,0,0,0,3,0,2,1,2,1,2,0,9,1,1,0,1,5,0,2,5,8,6,3,1,3,4,0,6,10,15,6,3,6,5,9,10,0,0,9,0,3,3,2,1,1,3,8,12,13,0,1,3,2,1,19,0,9,0,0,1,0,0,1,2,1,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,1,0,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,4,1,0,1,0,0,3,0,0,0,1,1,2,0,1,0,0,1,1,0,0,0,0,0,16,29,10,4,1,17,1,5,2,0,0,4,0,0,7,3,1,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,4,1,4,0,2,1,2,6,2,8,0,3,0,2,0,0,8,6,0,1,1,1,0,3,2,2,2,1,1,0,1,0,0,1,3
"E02001003 : Bolton 020",7,24,9,19,33,6,70,11,8,25,16,19,8,67,70,253,14,35,7,46,60,100,43,9,9,17,12,9,93,8,43,32,4,18,4,3,1,2,2,1,1,3,14,0,0,14,0,6,2,3,5,1,1,3,1,0,3,2,3,0,1,0,1,1,0,0,5,0,1,0,3,2,0,6,3,10,2,1,0,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,1,1,1,9,23,13,4,2,3,1,21,0,2,0,0,0,0,0,1,3,0,1,1,1,2,1,2,2,0,0,0,0,1,3,0,1,2,1,2,0,0,0,0,0,0,1,0,1,1,0,0,1,0,9,0,1,3,0,3,0,2,1,4,0,3,0,0,2,0,1,9,15,6,4,3,10,2,2,1,0,7,1,0,3,0,10,2,3,10,22,15,0,1,1,1,0,23,2,1,0,1,2,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,1,1,0,1,0,0,0,2,0,0,1,1,0,9,20,9,1,1,6,0,1,0,0,0,3,0,1,5,1,2,1,0,0,0,0,0,2,1,0,2,1,0,2,1,1,4,16,0,6,7,2,3,6,11,0,10,2,4,2,3,0,1,3,5,1,7,1,1,0,4,6,5,0,0,2,0,0,4,1,3,4
"E02001004 : Bolton 021",2,1,0,1,7,1,33,5,3,10,5,3,6,38,22,145,21,17,5,5,57,60,35,7,5,28,11,3,28,11,33,12,2,7,0,7,0,1,1,0,0,2,7,7,0,4,1,10,2,3,2,0,0,1,2,0,3,0,4,1,2,1,1,0,0,0,2,0,0,1,0,2,1,0,0,2,2,0,0,3,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,1,0,4,9,7,1,2,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,2,0,5,0,0,1,0,6,5,6,2,0,0,0,4,1,0,0,5,0,0,0,0,0,6,1,2,3,4,1,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,6,11,1,0,1,7,2,2,2,0,0,2,0,0,2,0,0,1,2,0,0,0,0,1,2,0,1,0,0,0,0,0,1,3,0,9,1,0,0,3,0,0,1,1,1,0,2,0,1,1,1,3,1,0,0,0,5,3,1,0,0,4,0,1,0,0,0,1
"E02001005 : Bolton 022",11,8,6,4,13,4,31,10,2,38,15,6,15,46,26,155,26,18,18,9,42,94,18,17,15,12,18,2,42,4,25,47,3,16,2,7,0,2,1,3,0,8,8,8,3,6,6,10,2,7,2,0,0,1,1,0,1,0,3,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,1,3,2,0,1,0,2,1,0,2,0,3,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,5,12,9,6,1,3,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,2,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,1,0,0,2,0,1,0,8,2,1,0,1,0,0,1,4,7,3,3,4,3,2,8,0,2,5,0,0,1,1,8,5,0,2,10,5,0,1,1,1,2,10,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,15,1,7,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,2,0,0,1,1,0,2,1,3,0,4,3,0,3,0,0,0,5,2,0,3,1,4,1,2,1,0,5,4,2,3,0,0,0,0,1,2,1,0
"E02001006 : Bolton 023",4,4,3,7,14,0,40,3,5,19,17,1,2,52,29,176,17,22,7,13,62,105,58,7,9,21,15,11,52,8,28,24,12,13,1,3,0,1,2,0,1,2,7,1,1,2,0,14,2,1,3,1,3,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,2,1,0,1,0,2,0,6,1,2,1,3,0,0,0,1,0,0,6,1,0,1,6,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,3,14,10,2,1,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,4,0,0,0,0,2,0,1,0,3,0,3,0,2,0,0,4,5,3,3,1,0,3,7,3,0,0,4,1,1,0,5,5,2,0,4,13,4,0,1,2,2,0,14,2,4,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,11,14,3,1,1,5,0,6,2,0,4,3,0,0,1,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,6,0,5,0,0,2,7,0,1,3,0,3,0,4,0,1,4,2,2,0,0,1,0,6,3,3,0,0,4,0,0,0,0,1,0
"E02001007 : Bolton 024",16,19,8,15,36,4,51,10,8,51,18,11,39,77,44,269,28,13,42,12,44,167,43,154,5,17,51,7,124,8,27,72,5,43,0,10,3,8,7,6,3,27,61,27,0,33,50,30,6,20,41,1,31,7,19,2,13,1,9,1,1,0,4,0,0,0,3,2,5,1,5,2,0,13,4,15,2,7,0,11,0,3,2,1,2,0,0,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,2,1,1,0,3,2,9,6,9,25,18,8,3,3,0,13,0,0,0,0,2,0,0,1,5,0,0,0,1,6,5,0,0,0,0,0,0,0,3,0,1,7,1,0,1,3,0,0,1,2,1,0,0,0,3,0,2,1,9,0,3,4,1,2,0,4,7,13,4,4,1,0,10,0,7,21,15,10,7,4,11,12,17,0,0,12,2,5,5,4,6,1,2,4,32,13,1,0,1,8,0,35,4,9,0,1,2,1,0,0,0,0,2,1,3,0,1,5,1,1,0,1,2,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,9,0,1,1,2,1,3,0,0,1,0,1,1,0,0,0,0,0,13,38,4,3,2,29,1,9,1,0,0,1,0,0,7,1,2,0,4,1,0,1,0,1,0,0,5,0,0,1,0,0,0,2,1,6,0,1,3,5,4,0,6,0,4,2,4,0,1,6,3,0,2,3,0,0,5,6,5,4,0,2,0,1,0,3,0,3
"E02001008 : Bolton 025",5,6,5,10,8,2,39,6,0,9,6,1,8,52,23,145,31,17,7,1,43,78,51,5,19,21,25,6,38,6,36,29,4,10,0,7,0,2,2,0,0,1,12,2,1,12,0,3,0,1,6,0,0,3,1,0,4,1,2,0,1,0,1,0,0,0,0,0,0,2,1,0,0,5,1,6,1,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,1,1,1,5,10,4,0,1,3,0,3,0,0,0,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,12,0,0,0,0,2,0,0,4,2,0,1,0,1,1,0,2,2,2,3,0,1,1,4,5,1,0,4,0,1,0,0,3,1,1,5,2,8,0,0,1,0,2,10,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,11,3,1,1,4,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,1,4,0,0,2,8,1,0,0,0,2,0,0,0,0,2,3,0,1,1,1,0,0,1,2,1,0,1,0,0,0,0,0,1
